t;PPR3_05folio_sterkere_handelsvridninger;PPR3_05gap_sterkere_handelsvridninger;PPR3_05jae_sterkere_handelsvridninger;PPR1_06folio_lavere_inflasjon;PPR1_06gap_lavere_inflasjon;PPR1_06jae_lavere_inflasjon;PPR2_06folio_lavere_inflasjon;PPR2_06gap_lavere_inflasjon;PPR2_06jae_lavere_inflasjon;PPR3_06folio_lavere_inflasjon;PPR3_06gap_lavere_inflasjon;PPR3_06jae_lavere_inflasjon;PPR1_07folio_lavere_inflasjon;PPR1_07gap_lavere_inflasjon;PPR1_07jae_lavere_inflasjon;PPR2_07folio_lavere_inflasjon;PPR2_07gap_lavere_inflasjon;PPR2_07jae_lavere_inflasjon;PPR3_07folio_lavere_inflasjon;PPR3_07gap_lavere_inflasjon;PPR3_07jae_lavere_inflasjon;PPR1_08folio_lavere_inflasjon;PPR1_08gap_lavere_inflasjon;PPR1_08jae_lavere_inflasjon;PPR2_08folio_lavere_inflasjon;PPR2_08gap_lavere_inflasjon;PPR2_08xe_lavere_inflasjon;PPR3_08folio_lavere_etterspørsel;PPR3_08gap_lavere_etterspørsel;PPR3_08xe_lavere_etterspørsel;PPR1_09folio_lavere_etterspørsel;PPR1_09gap_lavere_etterspørsel;PPR1_09xe_lavere_etterspørsel;PPR2_09folio_lavere_etterspørsel;PPR2_09gap_lavere_etterspørsel;PPR2_09xe_lavere_etterspørsel;PPR3_09folio_lavere_inflasjon;PPR3_09gap_lavere_inflasjon;PPR3_09xe_lavere_inflasjon;PPR1_10folio_lavere_etterspørsel;PPR1_10gap_lavere_etterspørsel;PPR1_10xe_lavere_etterspørsel;PPR2_10folio_vedvarende_uro_Europa;PPR2_10gap_vedvarende_uro_Europa;PPR2_10xe_vedvarende_uro_Europa;PPR3_10folio_vedvarende_lav_vekst_verden;PPR3_10gap_vedvarende_lav_vekst_verden;PPR3_10xe_vedvarende_lav_vekst_verden;PPR1_11folio_sterkere_kronekurs;PPR1_11gap_sterkere_kronekurs;PPR1_11xe_sterkere_kronekurs;PPR2_11folio_svakere_vekst_ute;PPR2_11gap_svakere_vekst_ute;PPR2_11xe_svakere_vekst_ute;PPR3_11folio_lavere_vekst_ute;PPR3_11gap_lavere_vekst_ute;PPR3_11xe_lavere_vekst_ute;PPR1_12folio_lavere_prisvekst_og_kapasitetsutnytting;PPR2_12folio_lavere_vekst;Foliorente;Produksjonsgap;CPI;CPI-jae;CPI handelspartnere (20), sesongjustert;I44;Arbeidsledighet;BNP Norge, fate priser sesongjuster;BNP Fastlandsnorge, faste priser sesongjunster;K2 husholdningel andel av BNP;K2 husholdninger, chained;Boligprisindeks;Kreditt/GDP (sum k2 husholdninger og k3 ikke-finansielle foretak i FLN) ;Gjeld (endring) husholdninger, firekvartalsvekst. ;Gjeldsvekst;Boligprisvekst;Kreditt Gap mot trend ved ensidig HP-filter³;Kreditt Gap mot trend ved utvidet HP-filter²;Kreditt Gap mot snitt siste 10 år;Boligpris Gap mot trend med ensidig HP-filter⁴;Boligpris Gap mot trend med utvidet HP-filter³;BoligprisGap mot snitt (rekursivt);NæringseiendomGap mot trend ved ensidig HP-filter³;NæringseiendomGap mot trend ved utvidet HP-filter²;NæringseiendomGap mot snitt (rekursivt)
2009-03-31;;;;4.2;1.37;2.29;4.54;1.33;2.15;4.4;1.74;2.12;4.67;1.69;2.09;5.12;1.53;2.17;4.47;1.9;1.8;4.67;1.68;1.79;5.17;1.76;2.59;4.49;0.35;3.4;2.66;-0.55;2.85;;;;;;;;;;;;;;;;;;;;;;;;;;;2.6587;-0.52;2.437301307;2.8392774026;109.3714829401;96.1402;2.514;591568;497414.209282912;99.6801664155;1870923.02235558;123;185.72;6.92;6.70;-5.60;20.69;16.84;33.44;-6.88;-3.05;12.87;23.60;8.95;25.89
2009-06-30;;;;4.36;1.32;2.35;4.7;1.27;2.25;4.53;1.6;2.22;4.81;1.55;2.19;5.23;1.37;2.25;4.5;1.69;1.86;4.46;1.52;1.89;5.05;1.47;2.58;3.91;-0.51;3.24;1.63;-1.26;2.69;1.66;-1.23;2.84;;;;;;;;;;;;;;;;;;;;;;;;1.6483;-0.91;3.1141849609;2.9519451463;109.5243725323;95.1039;2.782;587648.8;496486.659964864;101.8766765939;1905534.57713268;129.5;187.19;6.54;6.40;-1.82;20.21;16.27;33.30;-5.44;-0.52;14.67;14.33;4.12;17.61
2009-09-30;;;;4.5;1.26;2.4;4.85;1.21;2.3;4.65;1.45;2.29;4.92;1.4;2.3;5.29;1.22;2.38;4.56;1.5;2.08;4.32;1.36;1.99;4.93;1.2;2.63;3.42;-0.9;3.18;0.86;-1.83;2.25;1.23;-1.8;2.35;;;;;;;;;;;;;;;;;;;;;;;;1.25;-1.1;1.7517472999;2.4196498262;109.869058303;94.0802;2.823;588265.6;495953.272731284;103.4488609548;1935101.86399922;131.8;187.18;6.34;6.40;3.39;18.33;14.43;31.71;-3.84;1.60;16.76;13.09;6.41;17.43
2009-12-31;;;;4.64;1.2;2.46;5;1.15;2.38;4.76;1.29;2.35;5.01;1.24;2.35;5.33;1.07;2.43;4.62;1.34;2.19;4.23;1.23;2.11;4.83;0.99;2.6;3.06;-1.19;3.07;0.51;-2.31;2.01;0.78;-2.23;2;1.42;-1.1;2.25;;;;;;;;;;;;;;;;;;;;;1.457;-1.05;1.3887887551;2.2854220417;110.3494234319;89.985;2.848;589232.3;502026.40507749;104.6386266879;1962863.67872561;131.8;187.03;6.29;6.70;11.11;16.38;13.21;29.99;-3.23;1.75;17.66;9.21;4.55;14.27
2010-03-31;;;;;;;;;;;;;5.08;1.1;2.46;5.35;0.93;2.53;4.71;1.18;2.4;4.2;1.08;2.27;4.77;0.84;2.6;2.84;-1.28;2.97;0.47;-2.72;1.73;0.45;-2.38;1.7;1.5;-0.85;1.91;1.75;-0.97;2.15;;;;;;;;;;;;;;;;;;1.75;-0.97;2.94039027;1.9641332195;110.8300278964;89.251;2.967;593838.9;508550.894292013;104.4917485183;1984397.43038067;136.3;186.35;6.07;6.40;10.96;14.02;11.70;27.79;-3.89;0.65;16.99;8.30;5.44;14.13
2010-06-30;;;;;;;;;;;;;5.16;0.97;2.53;5.35;0.8;2.53;4.78;1.04;2.46;4.22;0.96;2.4;4.74;0.74;2.58;2.75;-1.2;2.85;0.51;-2.66;1.67;0.41;-2.46;1.73;1.63;-0.62;1.47;1.75;-0.97;1.72;1.9;-0.95;1.8;;;;;;;;;;;;;;;1.9068;-0.95;2.5960264901;1.4900196795;111.1726804873;89.9035;2.915;593311.8;503555.118740883;104.829516147;2020224.86623866;141.3;187.69;6.02;6.20;8.82;13.67;12.21;27.68;-4.13;0.17;16.79;12.81;10.18;20.01
2010-09-30;;;;;;;;;;;;;5.21;0.84;2.55;5.34;0.68;2.54;4.86;0.91;2.51;4.3;0.84;2.52;4.74;0.64;2.57;2.78;-0.99;2.75;0.52;-2.34;1.69;0.48;-2.31;1.78;1.83;-0.39;1.88;1.83;-0.99;1.74;1.76;-0.83;1.74;;;;;;;;;;;;;;;2;-0.77;1.8543046358;1.1811023622;111.6043862058;90.7831;2.836;585522.6;506627.851228449;104.5085275176;2043523.85260124;140.6;186.74;5.60;6.30;6.50;11.17;10.59;25.50;-3.89;0.38;17.19;11.61;9.32;19.81
2010-12-31;;;;;;;;;;;;;5.24;0.72;2.56;5.33;0.57;2.54;4.94;0.79;2.52;4.4;0.74;2.6;4.78;0.59;2.55;2.9;-0.72;2.64;0.69;-1.95;1.73;0.67;-2.02;1.86;2.1;-0.13;1.86;2;-1;1.71;1.79;-0.63;1.69;2;-0.61;1.35;;;;;;;;;;;;2;-0.6;2.212272847;1.0055865922;112.5261886732;91.1035;2.914;599049.3;507532.761545299;104.5608623141;2078002.8453449;140.5;186.94;5.87;6.50;7.15;9.86;10.09;24.48;-2.30;1.92;19.31;19.83;16.33;30.30
2011-03-31;;;;;;;;;;;;;;;;;;;;;;4.53;0.64;2.64;4.82;0.51;2.54;3.08;-0.44;2.56;0.97;-1.53;1.81;1.02;-1.59;1.93;2.48;0.07;1.88;2.17;-0.99;1.8;1.9;-0.64;1.74;2;-0.62;1.11;2;-0.4;1.05;;;;;;;;;2;-0.3;1.4022331862;0.7537688442;113.51212797;89.1211;2.781;594076.8;512133.927202623;104.8717078875;2106576.96432274;147.7;185.96;6.16;6.80;8.46;7.50;8.50;22.31;-1.34;2.63;20.73;18.06;13.60;29.97
2011-06-30;;;;;;;;;;;;;;;;;;;;;;4.66;0.55;2.64;4.89;0.44;2.49;3.29;-0.21;2.49;1.3;-1.09;1.87;1.41;-1.07;2;2.86;0.17;1.91;2.32;-0.95;2.02;2.05;-0.57;2;1.89;-0.56;1.14;2;-0.49;1.16;2.13;0;1.37;;;;;;2.1356;-0.1;1.4200877872;0.9972299169;114.3830416065;87.8383;2.675;597545.2;518280.644133241;105.7918115251;2150222.85579302;151.8;187.09;6.43;7.10;8.64;7.24;9.03;22.27;-1.40;2.22;20.89;30.85;24.04;46.76
